"","month","day","year","missing_var","s.mean","s.SD","p.GT.5","p.GT.25","p.GT.1","lag"
"3885","12","07","2012","CHLA",0.193732097628909,2.2148734137046e-05,0.193336425479283,0.301948051948052,0.380797773654917,14
"3886","12","07","2012","CHLA",0.188704058938879,2.16476780215752e-05,0.180735930735931,0.299706246134818,0.379097093382808,21
"3887","12","07","2012","CHLA",0.188704058938879,2.16476780215752e-05,0.180735930735931,0.299706246134818,0.379097093382808,28
"3888","12","07","2012","CHLA",0.188704058938879,2.16476780215752e-05,0.180735930735931,0.299706246134818,0.379097093382808,30
"3889","12","07","2012","EKE",0.19503122664382,2.13560223489356e-05,0.184137291280148,0.313543599257885,0.396799628942486,1
"3890","12","07","2012","EKE",0.192118756915269,2.11136952808449e-05,0.178571428571429,0.311688311688312,0.396103896103896,7
"3891","12","07","2012","EKE",0.192118756915269,2.11136952808449e-05,0.178571428571429,0.311688311688312,0.396103896103896,14
"3892","12","07","2012","EKE",0.193020700422344,2.12205117068654e-05,0.180194805194805,0.312461348175634,0.397418058132344,21
"3893","12","07","2012","EKE",0.193362348913204,2.12897857632942e-05,0.180504019789734,0.312152133580705,0.396645021645022,28
"3894","12","07","2012","EKE",0.193148900086992,2.12782036758789e-05,0.180735930735931,0.310992578849722,0.396181199752628,30
"3895","12","07","2012","YWIND",0.198663630186406,2.16850492077804e-05,0.186920222634508,0.319186765615337,0.397263450834879,1
"3896","12","07","2012","YWIND",0.197023472902289,2.14917584362039e-05,0.187770562770563,0.317717996289425,0.395021645021645,7
"3897","12","07","2012","YWIND",0.198312146593156,2.18090884349431e-05,0.185915275200989,0.320269016697588,0.39308905380334,14
"3898","12","07","2012","YWIND",0.202825183403612,2.23034192265649e-05,0.192022263450835,0.32452071737786,0.393862090290662,21
"3899","12","07","2012","YWIND",0.1995038532117,2.18548801169207e-05,0.186147186147186,0.321428571428571,0.397959183673469,28
"3900","12","07","2012","YWIND",0.1995038532117,2.18548801169207e-05,0.186147186147186,0.321428571428571,0.397959183673469,30
"3901","12","07","2012","SLA",0.194336957816924,2.12658950330627e-05,0.181431663574521,0.312306740878169,0.396799628942486,1
"3902","12","07","2012","SLA",0.170268791975569,2.02691670298133e-05,0.14100185528757,0.277365491651206,0.378169449598021,7
"3903","12","07","2012","SLA",0.166123075596064,1.98400364644206e-05,0.131570810142239,0.267547928262214,0.383735312306741,14
"3904","12","07","2012","SLA",0.166945002797509,1.98062979790931e-05,0.132575757575758,0.266311069882498,0.390769944341373,21
"3905","12","07","2012","SLA",0.164012983632073,1.9595420646026e-05,0.126468769325912,0.264842300556586,0.390847247990105,28
"3906","12","07","2012","SLA",0.165081657382898,1.97341804188913e-05,0.128092145949289,0.267547928262214,0.383426097711812,30
"3907","12","08","2012","SST",0.189845057479673,2.05897028296775e-05,0.172773654916512,0.30187074829932,0.410946196660482,1
"3908","12","08","2012","SST",0.197849952572077,2.07233190290666e-05,0.18243661100804,0.31686765615337,0.421072974644403,7
"3909","12","08","2012","SST",0.196856353325763,2.07598571290145e-05,0.181199752628324,0.313698206555349,0.421691403834261,14
"3910","12","08","2012","SST",0.196856353325763,2.07598571290145e-05,0.181199752628324,0.313698206555349,0.421691403834261,21
"3911","12","08","2012","SST",0.208381579147596,2.07348345680194e-05,0.196273964131107,0.336116264687693,0.428494124922696,28
"3912","12","08","2012","SST",0.214607923740301,2.0950715758409e-05,0.205936920222635,0.345315398886827,0.42965367965368,30
"3913","12","08","2012","CHLA",0.188427272704346,2.03933789400094e-05,0.168135435992579,0.303107606679035,0.413419913419913,1
"3914","12","08","2012","CHLA",0.19155252205685,2.0265814039542e-05,0.171536796536797,0.313157081014224,0.413961038961039,7
"3915","12","08","2012","CHLA",0.173840222772668,1.98196354060975e-05,0.148268398268398,0.287337662337662,0.387291280148423,14
"3916","12","08","2012","CHLA",0.188434319307941,2.10563178641941e-05,0.175633889919604,0.294758812615955,0.399118738404453,21
"3917","12","08","2012","CHLA",0.185981651442474,2.07676318820093e-05,0.170222634508349,0.296923314780458,0.403602350030921,28
"3918","12","08","2012","CHLA",0.185981651442474,2.07676318820093e-05,0.170222634508349,0.296923314780458,0.403602350030921,30
"3919","12","08","2012","EKE",0.187998679218063,2.03478145980607e-05,0.166357452071738,0.3032622139765,0.413883735312307,1
"3920","12","08","2012","EKE",0.187370055594511,2.02541201480478e-05,0.164888682745826,0.302257266542981,0.414502164502164,7
"3921","12","08","2012","EKE",0.185993181032575,2.01727747848801e-05,0.161951144094001,0.301406926406926,0.414270253555968,14
"3922","12","08","2012","EKE",0.185993181032575,2.01727747848801e-05,0.161951144094001,0.301406926406926,0.414270253555968,21
"3923","12","08","2012","EKE",0.187436914097358,2.03933320848616e-05,0.164270253555968,0.30117501546073,0.413883735312307,28
"3924","12","08","2012","EKE",0.187397180800454,2.04088681476711e-05,0.163419913419913,0.30117501546073,0.414115646258503,30
"3925","12","08","2012","YWIND",0.189766120676139,2.03687778803815e-05,0.170763760049474,0.304499072356215,0.414038342609771,1
"3926","12","08","2012","YWIND",0.197552349339977,2.09543957605496e-05,0.177952999381571,0.322356215213358,0.413806431663575,7
"3927","12","08","2012","YWIND",0.191195547716141,2.05987864547612e-05,0.16991341991342,0.309291898577613,0.414115646258503,14
"3928","12","08","2012","YWIND",0.197568270535762,2.092992281753e-05,0.182127396413111,0.318413729128015,0.414424860853432,21
"3929","12","08","2012","YWIND",0.192283058223114,2.06093457066258e-05,0.175943104514533,0.309446505875077,0.40947742733457,28
"3930","12","08","2012","YWIND",0.1926465123188,2.08195892930578e-05,0.171382189239332,0.308750773036487,0.412724180581323,30
"3931","12","08","2012","SLA",0.18896360165252,2.03960192331554e-05,0.169604205318491,0.304035250463822,0.413265306122449,1
"3932","12","08","2012","SLA",0.185162882390969,2.00880607221257e-05,0.161178107606679,0.296691403834261,0.415429808286951,7
"3933","12","08","2012","SLA",0.16256677324484,1.92415343341115e-05,0.121057513914657,0.260281385281385,0.394403215831787,14
"3934","12","08","2012","SLA",0.161183728188663,1.90573254622626e-05,0.118197278911565,0.257343846629561,0.397804576376005,21
"3935","12","08","2012","SLA",0.160951004906886,1.92119161373105e-05,0.117810760667904,0.257962275819419,0.397572665429808,28
"3936","12","08","2012","SLA",0.160006478824028,1.91014265978354e-05,0.116187384044527,0.257343846629561,0.395021645021645,30
"3937","12","09","2012","SST",0.19825869611065,2.04863147791864e-05,0.185142238713667,0.325602968460111,0.413188002473717,1
"3938","12","09","2012","SST",0.204928210150462,2.08411646013203e-05,0.198979591836735,0.33078231292517,0.415197897340754,7
"3939","12","09","2012","SST",0.204616089401013,2.08477963737288e-05,0.196119356833643,0.329854669140383,0.418367346938776,14
"3940","12","09","2012","SST",0.204616089401013,2.08477963737288e-05,0.196119356833643,0.329854669140383,0.418367346938776,21
"3941","12","09","2012","SST",0.211954807706791,2.07749151862158e-05,0.202767470624613,0.343923933209647,0.426252319109462,28
"3942","12","09","2012","SST",0.215539872769186,2.07725881645126e-05,0.210188620902907,0.349257884972171,0.426484230055659,30
"3943","12","09","2012","CHLA",0.188594283906437,2.07942705877504e-05,0.171691403834261,0.306508967223253,0.399350649350649,1
"3944","12","09","2012","CHLA",0.187731048649919,2.04225515847955e-05,0.168985776128633,0.306122448979592,0.403834260977118,7
"3945","12","09","2012","CHLA",0.171697512519463,2.01379087930299e-05,0.149969078540507,0.283704390847248,0.372680890538033,14
"3946","12","09","2012","CHLA",0.185455423411636,2.1588237430931e-05,0.177952999381571,0.28865182436611,0.383580705009276,21
"3947","12","09","2012","CHLA",0.18341159819323,2.1429237194075e-05,0.174010513296228,0.290120593692022,0.383580705009276,28
"3948","12","09","2012","CHLA",0.18341159819323,2.1429237194075e-05,0.174010513296228,0.290120593692022,0.383580705009276,30
"3949","12","09","2012","EKE",0.193807627796399,2.02239062088655e-05,0.178339517625232,0.319418676561534,0.412183055040198,1
"3950","12","09","2012","EKE",0.193231448864013,2.01341239811079e-05,0.178416821273964,0.319418676561534,0.412414965986395,7
"3951","12","09","2012","EKE",0.191981223936765,2.00650715623819e-05,0.175401978973408,0.318645640074211,0.411873840445269,14
"3952","12","09","2012","EKE",0.191981223936765,2.00650715623819e-05,0.175401978973408,0.318645640074211,0.411873840445269,21
"3953","12","09","2012","EKE",0.19320832259088,2.02600570493511e-05,0.174474335188621,0.319495980210266,0.412492269635127,28
"3954","12","09","2012","EKE",0.193580559433853,2.02995669904121e-05,0.174397031539889,0.318800247371676,0.41156462585034,30
"3955","12","09","2012","YWIND",0.192320677981871,2.02618827799195e-05,0.17408781694496,0.312461348175634,0.416125541125541,1
"3956","12","09","2012","YWIND",0.196767806628949,2.08603516811572e-05,0.178416821273964,0.317331478045764,0.412569573283859,7
"3957","12","09","2012","YWIND",0.19493837779346,2.03226701646366e-05,0.18034941249227,0.320732838589981,0.411796536796537,14
"3958","12","09","2012","YWIND",0.196076682713875,2.03169949742967e-05,0.178107606679035,0.326221397649969,0.412105751391466,21
"3959","12","09","2012","YWIND",0.194937162758775,2.07062232073095e-05,0.177952999381571,0.317331478045764,0.409786641929499,28
"3960","12","09","2012","YWIND",0.197123382040035,2.07936230510241e-05,0.182204700061843,0.319264069264069,0.408549783549784,30
"3961","12","09","2012","SLA",0.194629656009862,2.02873916788018e-05,0.180117501546073,0.321273964131107,0.412414965986395,1
"3962","12","09","2012","SLA",0.191037183152645,2.00961385854117e-05,0.176097711811998,0.312461348175634,0.415197897340754,7
"3963","12","09","2012","SLA",0.168297013127693,1.90634704116805e-05,0.131106988249845,0.278988868274583,0.398191094619666,14
"3964","12","09","2012","SLA",0.165863532822364,1.89511164603412e-05,0.126236858379716,0.269171304885591,0.40252009894867,21
"3965","12","09","2012","SLA",0.164859309340032,1.91154510536019e-05,0.121444032158318,0.270330859616574,0.399505256648114,28
"3966","12","09","2012","SLA",0.163891314582067,1.90154938742234e-05,0.120439084724799,0.268862090290662,0.398732220160792,30
"3967","12","10","2012","SST",0.194429827662058,2.08832611529652e-05,0.188466295609153,0.3217377860235,0.385590599876314,1
"3968","12","10","2012","SST",0.204343527525546,2.14098204679993e-05,0.205318491032777,0.331323438466296,0.39030612244898,7
"3969","12","10","2012","SST",0.204717308284723,2.14123761994948e-05,0.204468150896722,0.333797155225727,0.391620284477427,14
"3970","12","10","2012","SST",0.204717308284723,2.14123761994948e-05,0.204468150896722,0.333797155225727,0.391620284477427,21
"3971","12","10","2012","SST",0.217586502776673,2.21794919826543e-05,0.220315398886827,0.346243042671614,0.402210884353741,28
"3972","12","10","2012","SST",0.215629840612049,2.18358325254827e-05,0.217223252937539,0.345779220779221,0.40112863327149,30
"3973","12","10","2012","CHLA",0.199538281230539,2.0343971094131e-05,0.188466295609153,0.332792207792208,0.410482374768089,1
"3974","12","10","2012","CHLA",0.193438231321634,2.05250153287957e-05,0.179112554112554,0.318645640074211,0.402442795299938,7
"3975","12","10","2012","CHLA",0.175608787707492,2.03466872432554e-05,0.159245516388374,0.295377241805813,0.366187384044527,14
"3976","12","10","2012","CHLA",0.190162593813135,2.20138928871936e-05,0.188543599257885,0.297928262213977,0.374690785405071,21
"3977","12","10","2012","CHLA",0.186050454984168,2.16915211968336e-05,0.179730983302412,0.296459492888064,0.373995052566481,28
"3978","12","10","2012","CHLA",0.186050454984168,2.16915211968336e-05,0.179730983302412,0.296459492888064,0.373995052566481,30
"3979","12","10","2012","EKE",0.195227879000696,2.08932385342153e-05,0.189007421150278,0.324443413729128,0.385358688930117,1
"3980","12","10","2012","EKE",0.195747509990792,2.09012515022892e-05,0.189935064935065,0.323979591836735,0.385745207173779,7
"3981","12","10","2012","EKE",0.19526518613719,2.08926804288369e-05,0.188311688311688,0.324134199134199,0.385049474335189,14
"3982","12","10","2012","EKE",0.19526518613719,2.08926804288369e-05,0.188311688311688,0.324134199134199,0.385049474335189,21
"3983","12","10","2012","EKE",0.197784798532027,2.12424789277808e-05,0.191713048855906,0.326221397649969,0.386440940012369,28
"3984","12","10","2012","EKE",0.19693010795705,2.1180992876238e-05,0.188620902906617,0.324984539270254,0.387136672850959,30
"3985","12","10","2012","YWIND",0.195734539087864,2.07949583220567e-05,0.190089672232529,0.325371057513915,0.385358688930117,1
"3986","12","10","2012","YWIND",0.195855156879836,2.13631476592284e-05,0.186533704390847,0.321273964131107,0.385204081632653,7
"3987","12","10","2012","YWIND",0.195732458662761,2.07960599593874e-05,0.190398886827458,0.325293753865182,0.385513296227582,14
"3988","12","10","2012","YWIND",0.196265792110501,2.12440124141791e-05,0.184833024118738,0.326298701298701,0.386363636363636,21
"3989","12","10","2012","YWIND",0.197244890730164,2.10173768631357e-05,0.190244279529994,0.328385899814471,0.387136672850959,28
"3990","12","10","2012","YWIND",0.196882685709325,2.1000564930324e-05,0.194418676561534,0.325602968460111,0.38613172541744,30
"3991","12","10","2012","SLA",0.19644903993905,2.10110754072848e-05,0.190940012368584,0.324366110080396,0.38543599257885,1
"3992","12","10","2012","SLA",0.1914582073682,2.05371769868919e-05,0.183750773036487,0.319418676561534,0.387677798392084,7
"3993","12","10","2012","SLA",0.170618823632719,1.96929995889187e-05,0.14239332096475,0.292748917748918,0.369666048237477,14
"3994","12","10","2012","SLA",0.168578184881367,1.94193782125836e-05,0.135358688930117,0.288806431663575,0.373685837971552,21
"3995","12","10","2012","SLA",0.167131727096259,1.94694192592784e-05,0.129406307977737,0.286023500309215,0.375618429189858,28
"3996","12","10","2012","SLA",0.166206785525108,1.94969596140931e-05,0.127009894867038,0.283395176252319,0.373299319727891,30
"3997","12","11","2012","SST",0.202394768738288,2.16515766536406e-05,0.200448361162647,0.328772418058132,0.388141620284477,1
"3998","12","11","2012","SST",0.206639641275081,2.19351441722304e-05,0.209183673469388,0.330627705627706,0.39030612244898,7
"3999","12","11","2012","SST",0.212968911615088,2.22768581143265e-05,0.215213358070501,0.340213358070501,0.392857142857143,14
"4000","12","11","2012","SST",0.212968911615088,2.22768581143265e-05,0.215213358070501,0.340213358070501,0.392857142857143,21
"4001","12","11","2012","SST",0.226240800950796,2.27498827323568e-05,0.234307359307359,0.352427334570192,0.40182436611008,28
"4002","12","11","2012","SST",0.222525669123879,2.24617566712965e-05,0.225494743351886,0.350572047000618,0.400742115027829,30
