"","month","day","year","t.minus","s.mean","s.SD","p.GT.5","p.GT.25","p.GT.1"
"128","08","12","2012",8,0.0603238462983154,8.82809907345821e-06,0.00525664811379097,0.065321583178726,0.222789115646259
"129","08","12","2012",14,0.06665223860201,9.98301226799909e-06,0.0099721706864564,0.0811688311688312,0.236008039579468
"130","08","12","2012",30,0.0793670784763526,1.19936234400591e-05,0.0221861471861472,0.108225108225108,0.263064316635745
"131","08","13","2012",1,0.023811659332319,3.3589742054495e-06,0,0.00123685837971552,0.0578231292517007
"132","08","13","2012",2,0.0322554357135738,4.51265427049697e-06,0.00015460729746444,0.00641620284477427,0.107220160791589
"133","08","13","2012",3,0.0358839964376746,5.34656014436902e-06,0.000850340136054422,0.0120593692022263,0.121675943104515
"134","08","13","2012",4,0.0456604896042675,6.86600951090955e-06,0.0015460729746444,0.0289888682745826,0.170995670995671
"135","08","13","2012",5,0.0457969186769594,7.19618214849376e-06,0.00239641311069883,0.0319264069264069,0.164734075448361
"136","08","13","2012",6,0.047491949373,7.29043611701869e-06,0.0023191094619666,0.0345547309833024,0.173005565862709
"137","08","13","2012",7,0.0490006265134358,7.64395192618434e-06,0.00286023500309215,0.0391156462585034,0.177411873840445
"138","08","13","2012",8,0.0602162428392003,8.6625564249215e-06,0.00510204081632653,0.0630797773654917,0.227118119975263
"139","08","13","2012",14,0.0693610923833255,1.01989944123695e-05,0.0118274582560297,0.0861162646876933,0.24652133580705
"140","08","13","2012",30,0.0811652450110197,1.19086499756055e-05,0.0217223252937539,0.108379715522573,0.27682436611008
"141","08","14","2012",1,0.0254972449390297,3.47134654146732e-06,0,0.00139146567717996,0.0657081014223871
"142","08","14","2012",2,0.0312544169907939,4.60010678038848e-06,0.00015460729746444,0.00688002473716759,0.0986394557823129
"143","08","14","2012",3,0.0453093520672457,6.67008571300006e-06,0.0019325912183055,0.0275200989486704,0.173314780457638
"144","08","14","2012",4,0.0461512091352707,7.03524593621901e-06,0.00224180581323438,0.0326994434137291,0.172619047619048
"145","08","14","2012",5,0.048367928768452,7.16320922545505e-06,0.0023191094619666,0.0343228200371058,0.181431663574521
"146","08","14","2012",6,0.0494603758159688,7.51854236862149e-06,0.00278293135435993,0.0385745207173779,0.182204700061843
"147","08","14","2012",7,0.0613807308142625,8.71626596737365e-06,0.00471552257266543,0.0662492269635127,0.231447124304267
"148","08","14","2012",8,0.0626554767514763,8.84360187956498e-06,0.00548855905998763,0.0687229437229437,0.2360853432282
"149","08","14","2012",14,0.0712910401152909,1.01310024595811e-05,0.0109771181199753,0.0901360544217687,0.255488559059988
"150","08","14","2012",30,0.0823435883954493,1.19119043132987e-05,0.0217223252937539,0.113017934446506,0.2823902288188
"151","08","15","2012",1,0.0236871540369487,3.40864999504376e-06,0,0.00170068027210884,0.0581323438466296
"152","08","15","2012",2,0.044186113132555,6.52341708385151e-06,0.00131416202844774,0.0263605442176871,0.165584415584416
"153","08","15","2012",3,0.0463774624194697,6.86531688304175e-06,0.0015460729746444,0.0303803339517625,0.173701298701299
"154","08","15","2012",4,0.0483143854447928,7.13422969799872e-06,0.0019325912183055,0.0371830550401979,0.179730983302412
"155","08","15","2012",5,0.0495673912723734,7.5181883843402e-06,0.00262832405689549,0.0397340754483612,0.183982683982684
"156","08","15","2012",6,0.0632559498532253,8.75194148958451e-06,0.00510204081632653,0.066017316017316,0.239332096474954
"157","08","15","2012",7,0.0640670286467314,8.87886411021612e-06,0.00525664811379097,0.0689548546691404,0.241960420531849
"158","08","15","2012",8,0.0635034435360893,8.94220697545987e-06,0.00548855905998763,0.0690321583178726,0.237399505256648
"159","08","15","2012",14,0.0748838143803159,1.03007511375815e-05,0.0112090290661719,0.0960884353741497,0.271103896103896
"160","08","15","2012",30,0.0871238546333396,1.18987024491473e-05,0.0225726654298083,0.119820655534941,0.304112554112554
"161","08","16","2012",1,0.0407959206492906,6.31130819419327e-06,0.00100494743351886,0.0238095238095238,0.144325912183055
"162","08","16","2012",2,0.0444629615990973,6.68096491861008e-06,0.00146876932591218,0.0275974025974026,0.163806431663575
"163","08","16","2012",3,0.0476008586987168,7.0004941459251e-06,0.0015460729746444,0.0337816944959802,0.179344465058751
"164","08","16","2012",4,0.0486368014879693,7.36703984326239e-06,0.00224180581323438,0.0383426097711812,0.180581323438466
"165","08","16","2012",5,0.0613699311595946,8.79594971654778e-06,0.00564316635745207,0.0645485466914038,0.226035868893012
"166","08","16","2012",6,0.0623998878939444,8.96399818394525e-06,0.00595238095238095,0.0672541743970315,0.231756338899196
"167","08","16","2012",7,0.0619570545730351,9.04903956767067e-06,0.00610698824984539,0.0694186765615337,0.227427334570192
"168","08","16","2012",8,0.0656080613531596,9.61408863835102e-06,0.0076530612244898,0.0784632034632035,0.235621521335807
"169","08","16","2012",14,0.0755855401431475,1.06211770049415e-05,0.0127551020408163,0.0995670995670996,0.265924551638837
"170","08","16","2012",30,0.0864010669874581,1.23607390166671e-05,0.0237322201607916,0.118661100803958,0.294449598021027
"171","08","17","2012",1,0.0148260109864755,2.04911144010826e-06,0,7.73036487322202e-05,0.0099721706864564
"172","08","17","2012",2,0.0200087212689683,2.94754059133529e-06,0,0.000850340136054422,0.037569573283859
"173","08","17","2012",3,0.0221963932429092,3.68279346402204e-06,0.00023191094619666,0.00239641311069883,0.0492424242424242
"174","08","17","2012",4,0.0396079089912573,6.23146248858889e-06,0.000618429189857761,0.0262832405689549,0.13126159554731
"175","08","17","2012",5,0.0410079853582061,6.47958346654241e-06,0.000850340136054422,0.0282158317872604,0.137909709338281
"176","08","17","2012",6,0.041844224975853,6.526909296947e-06,0.000773036487322202,0.0303030303030303,0.142238713667285
"177","08","17","2012",7,0.0478436503287642,7.28161627083518e-06,0.00131416202844774,0.0418985776128633,0.170763760049474
"178","08","17","2012",8,0.0484325116045491,7.41283213545948e-06,0.00177798392084106,0.0449134199134199,0.172309833024119
"179","08","17","2012",14,0.0608668336633866,8.77993460645428e-06,0.00409709338280767,0.0692640692640693,0.219619666048237
"180","08","17","2012",30,0.0802930140591503,1.15874475381783e-05,0.0195578231292517,0.104282622139765,0.28308596165739
"181","08","18","2012",1,0.0133317326994415,1.98573340516819e-06,0,0.00023191094619666,0.00688002473716759
"182","08","18","2012",2,0.0166278072064308,3.03152247893731e-06,0.00023191094619666,0.00177798392084106,0.0230364873222016
"183","08","18","2012",3,0.0351090624599384,5.77795745929526e-06,0.000541125541125541,0.0190166975881262,0.116728509585652
"184","08","18","2012",4,0.0372603454398932,6.02338442306524e-06,0.000695732838589981,0.0214904143475572,0.126855287569573
"185","08","18","2012",5,0.0381371814221194,6.10159243005435e-06,0.000463821892393321,0.0237322201607916,0.129715522572665
"186","08","18","2012",6,0.0449523455725777,6.95644657719571e-06,0.000850340136054422,0.0378014842300557,0.16086889301175
"187","08","18","2012",7,0.0458927938577867,7.12201351704004e-06,0.0011595547309833,0.036873840445269,0.161873840445269
"188","08","18","2012",8,0.0472175744074301,7.31290930509622e-06,0.00146876932591218,0.0406617192331478,0.167594310451453
"189","08","18","2012",14,0.0579651259097093,8.49907831035058e-06,0.00355596784168213,0.0636209029066172,0.207946815089672
"190","08","18","2012",30,0.078912598179685,1.1973791494303e-05,0.0213358070500928,0.102272727272727,0.267934446505875
